HOVEDSKOLE_INST;INST_NR;INST_NAVN;ENHEDSART;INST_ADR;POSTNR;POSTDISTRIKT;TLF_NR;E_MAIL;WEB_ADR;INST_TYPE_NR;INST_TYPE_NAVN;INST_TYPE_GRUPPE;UNDERV_NIV;INST_LEDER;CVR_NR;KOMMUNE_NR;ADM_KOMMUNE_NAVN;BEL_KOMMUNE;BEL_KOMMUNE_NAVN;BEL_REGION;REGION_NAVN;EJER_KODE;EJERKODE_NAVN;P_NR;VEJKODE;GEO_BREDDE_GRAD;GEO_LAENGDE_GRAD
;101023;Tingbjerg Skole;Institution uden enheder;Skolesiden 2;2700;Brønshøj;3366 6040;tingbjergskole@kk.dk;www.tingbjergskole.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Marco Damgaard;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003255588;6494;55,71908728;12,48446681
;101029;Tagensbo Skole;Institution uden enheder;Magistervej 4;2400;København NV;8256 5580;tgb@kk.dk;www.tgb.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Tommy Selchau Christiansen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003254155;4580;55,70978044;12,53351093
;101030;Holbergskolen;Institution uden enheder;Frederiksborgvej 216;2400;København NV;3366 6400;holbergskolen@kk.dk;www.holbergskolen.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Sune Schnack Rasmussen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003252449;1940;55,72445108;12,52876142
;101034;Rådmandsgades Skole;Institution uden enheder;Rådmandsgade 22;2200;København N;3366 4020;raadmandsgadesskole@kk.dk;www.raadmandsgadesskole.kk.dk;1012;Folkeskoler;Grundskoler mv.;7;Martin Wåhlin;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003255370;6160;55,69920538;12,54999834
;101035;Guldberg Skole;Institution uden enheder;Sjællandsgade 10;2200;København N;3366 4747;guldbergskole@kk.dk;www.guldbergskole.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Morten Falgaard Nielsen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003255461;6408;55,69318468;12,55314342
;101039;Randersgades Skole;Institution uden enheder;Randersgade 38;2100;København Ø;3366 2650;rgmail@buf.kk.dk;www.rg.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Lotte la Cour Thomsen.;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003254866;5716;55,70578348;12,58079398
;101041;Strandvejsskolen;Institution uden enheder;Sionsgade 1;2100;København Ø;3366 7900;strandvejsskolen@kk.dk;www.strandvejsskolen.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Trine Borch, konst.;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003255424;6396;55,71124423;12,57920605
;101042;Vibenshus Skole;Institution uden enheder;Kertemindegade 10;2100;København Ø;3366 1555;VibenshusSkole@kk.dk;www.vi.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Christian Munch Thorsen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003253512;3636;55,70875603;12,57882382
;101043;Øster Farimagsgades Skole;Institution uden enheder;Øster Farimagsgade 40;2100;København Ø;3366 3900;oef@kk.dk;oef.aula.dk;1012;Folkeskoler;Grundskoler mv.;9;Axel Bech;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003254167;8588;55,69256402;12,57756795
;101045;Nørre Fælled Skole;Institution uden enheder;Biskop Krags Vænge 7;2100;København Ø;3918 0380;nfs@kk.dk;nfs.aula.dk;1012;Folkeskoler;Grundskoler mv.;9;Thomas Bisgaard;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003251624;0524;55,70536092;12,5581518
;101047;Christianshavns Skole;Institution uden enheder;Prinsessegade 45;1422;København K;3366 3800;chr@kk.dk;www.chr.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Anni Green Sandhagen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003254751;5612;55,67429494;12,59637463
;101049;Dyvekeskolen;Institution uden enheder;Remisevej 16;2300;København S;3530 3090;dyvekeskolen@kk.dk;www.dyveke.kk.dk;1012;Folkeskoler;Grundskoler mv.;10;Marck Gylling Tønnesen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003255308;5798;55,64855363;12,5954325
;101050;Skolen på Amagerbro;Institution uden enheder;Lybækgade 20;2300;København S;8256 1800;spa@kk.dk;spa.aula.dk;1012;Folkeskoler;Grundskoler mv.;9;Rasmus Bonde;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003254064;4456;55,66310924;12,60884242
;101051;Gerbrandskolen;Institution uden enheder;Gerbrandsvej 9;2300;København S;3366 4900;gerbrandskolen@kk.dk;gerbrandskolen.aula.dk;1012;Folkeskoler;Grundskoler mv.;6;Jesper Larsen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003252693;2176;55,6472546;12,61669644
;101052;Højdevangens Skole;Institution uden enheder;Grønløkkevej 1;2300;København S;3317 3518;Hvs@kk.dk;www.hvs.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Tobias Malmgren;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003252826;2344;55,64674569;12,60382218
;101053;Skolen ved Sundet;Institution uden enheder;Samosvej 50;2300;København S;3255 1508;svs@kk.dk;www.svs.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Johnni Damgaard Pedersen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003255382;6196;55,65323135;12,62801932
;101055;Sundbyøster Skole;Institution uden enheder;Smyrnavej 5;2300;København S;3366 5130;sundbyoesterskole@kk.dk;www.sundbyoesterskole.kk.dk;1012;Folkeskoler;Grundskoler mv.;6;Christina Helverskov Langhoff;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003255655;6640;55,6514495;12,61384722
;101058;Lergravsparkens Skole;Institution uden enheder;Østrigsgade 14;2300;København S;3317 5000;lps@kk.dk;www.lps.kk.dk;1012;Folkeskoler;Grundskoler mv.;10;Torben Vorstrup;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003256730;8620;55,66499493;12,61340634
;101059;Skolen på Islands Brygge;Institution uden enheder;Artillerivej 57;2300;København S;3366 4200;skolenpaaislandsbrygge@buf.kk.dk;sib.aula.dk/;1012;Folkeskoler;Grundskoler mv.;9;Aase Hammer;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003251417;0232;55,66292354;12,58319827
;101060;Peder Lykke Skolen;Institution uden enheder;Brydes Allé 25;2300;København S;8256 6950;pederlykkeskolen@kk.dk;www.pederlykkeskolen.kk.dk;1012;Folkeskoler;Grundskoler mv.;10;Lennart Kjellerup;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003251855;0892;55,65535543;12,59659831
;101062;Bavnehøj Skole;Institution uden enheder;Natalie Zahles Vej 9;2450;København SV;3366 5100;bav@kk.dk;www.bav.kk.dk;1012;Folkeskoler;Grundskoler mv.;10;Pia Grevelund;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003254349;4944;55,65789588;12,53564973
;101063;Ellebjerg Skole;Institution uden enheder;P. Knudsens Gade 37;2450;København SV;3530 2450;ellebjergskole@kk.dk;www.ellebjergskole.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Anne Graah;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003253718;3816;55,65107471;12,53161061
;101064;Tove Ditlevsens Skole;Institution uden enheder;Enghave Plads 21;1670;København V;3326 7810;tds@kk.dk;www.tds.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Jeanne Jacobsen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003252206;1588;55,66645043;12,54494908
;101069;Oehlenschlægersgades Skole;Institution uden enheder;Oehlenschlægersgade 57;1663;København V;3326 7800;oeh@kk.dk;www.oeh.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Anette Evelyn Lauge;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003254556;5240;55,66759755;12,55032319
;101070;Hanssted Skole;Institution uden enheder;Rødbyvej 2;2500;Valby;3630 1831;hanssted@kk.dk;www.hanssted.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Kåre Landgren;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003255242;6080;55,66665309;12,48632102
;101071;Kirsebærhavens Skole;Institution uden enheder;Kirsebærhaven 25;2500;Valby;3317 8232;kir@kk.dk;www.kir.kk.dk;1012;Folkeskoler;Grundskoler mv.;10;Søren Friis;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003253548;3696;55,64915663;12,50198169
;101072;Lykkebo Skole;Institution uden enheder;Vigerslevvej 141;2500;Valby;3613 0020;lykkeboskole@kk.dk;www.lykkeboskole.kk.dk;1012;Folkeskoler;Grundskoler mv.;10;Søren Friis;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003256559;8320;55,66010279;12,48406264
;101074;Valby Skole;Institution uden enheder;Ved Ovnhallen 6;2500;Valby;8232 4444;Valbyskole@kk.dk;www.valbyskole.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Lise Wenzel Andersen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003255047;8087;55,66515349;12,50910807
;101075;Vigerslev Allés Skole;Institution uden enheder;Vigerslev Allé 108;2500;Valby;3317 4800;vas@kk.dk;www.vas.kk.dk;1012;Folkeskoler;Grundskoler mv.;10;René Bang Henriksen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003256523;8308;55,6614523;12,50808956
;101076;Ålholm Skole;Institution uden enheder;Vibeholmen 1;2500;Valby;3317 2636;aalholmskole@kk.dk;www.aalholmskole.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Søren Vith;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003256493;8276;55,67008777;12,49505641
;101138;Lundehusskolen;Institution uden enheder;Lersø Parkalle 152;2100;København Ø;3366 4100;lundehus@kk.dk;www.lundehus.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Lisbeth Palm Olesen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003253937;4236;55,71847038;12,5443624
;101151;Kildevældsskolen;Institution uden enheder;Bellmansgade 5a;2100;København Ø;3317 3131;kildevaeld@kk.dk;www.kildevaeld.kk.dk;1012;Folkeskoler;Grundskoler mv.;10;Anne Marker;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003251570;0452;55,71540214;12,56940985
;101157;Sortedamskolen;Institution uden enheder;Sortedam Dossering 97;2100;København Ø;3542 7087;sortedamskolen@kk.dk;www.sortedamskolen.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Eva Hindsgavl Brink;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003255679;6740;55,69773224;12,57720677
;101158;Sankt Annæ Gymnasiums Grundskole;Institution uden enheder;Sjælør Boulevard 135;2500;Valby;3646 6222;sag@kk.dk;www.sag.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Anette Holst;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1012961320;6412;55,6560852;12,52584515
;101174;Amager Fælled Skole;Institution uden enheder;Sundholmsvej 2 A;2300;København S;3530 2308;afs@kk.dk;www.afs.kk.dk;1012;Folkeskoler;Grundskoler mv.;10;Torben Højman Jensen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003255989;7120;55,66244688;12,59498884
;101175;Langelinieskolen;Institution uden enheder;Holsteinsgade 41;2100;København Ø;3528 9696;langelinieskolen@kk.dk;www.langelinieskolen.kk.dk;1012;Folkeskoler;Grundskoler mv.;9;Kristian Borg;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003253044;3008;55,69960544;12,58673834
101403;280438;Hotel- og Restaurantskolen, 10. klassecenter;Afdeling (underordnet enhed);Vigerslev Allé 18;2500;Valby;3386 2200;hrs@hrs.dk;www.hrs.dk;1012;Folkeskoler;Grundskoler mv.;10;Anne-Birgitte Agger;11861571;;;101;Københavns Kommune;1084;Region Hovedstaden;4;Selvejende, statslige;1003400631;8308;55,66243136;12,5212104
;101537;Heibergskolen;Institution uden enheder;Randersgade 10;2100;København Ø;3366 9400;heibergskolen@kk.dk;www.heibergskolen.kk.dk;1012;Folkeskoler;Grundskoler mv.;6;Jacob Jensby Christensen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1009055483;5716;55,70298082;12,58187242
;101540;Utterslev Skole;Institution uden enheder;Skoleholdervej 20;2400;København NV;3366 9200;utterslevskole@kk.dk;www.utterslevskole.aula.dk;1012;Folkeskoler;Grundskoler mv.;7;Ulla Jensen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1010020154;6492;55,71126677;12,51986087
;101572;Vesterbro Ny Skole;Institution uden enheder;Slesvigsgade 6;1762;København V;3322 1801;vesterbronyskole@kk.dk;www.vesterbronyskole.kk.dk;1012;Folkeskoler;Grundskoler mv.;10;Sara Cort;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1003254416;6584;55,66535505;12,54057756
;101586;Gasværksvejens Skole;Institution uden enheder;Gasværksvej 22;1656;København V;3388 1010;gas@kk.dk;www.gas.aula.dk;1012;Folkeskoler;Grundskoler mv.;10;Marianne Risager-Hansen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale;1012950795;2136;55,6701425;12,55754711
;147002;Lindevangskolen;Institution uden enheder;P G Ramms Allé 26;2000;Frederiksberg;3821 0750;lindevangskolen@frederiksberg.dk;www.frb-li.aula.dk;1012;Folkeskoler;Grundskoler mv.;9;Jens Hammer;11259979;147;Frederiksberg Kommune;147;Frederiksberg Kommune;1084;Region Hovedstaden;2;Kommunale;1003258101;0652;55,68051953;12,5088193
;147006;Søndermarkskolen;Institution uden enheder;Hoffmeyersvej 32;2000;Frederiksberg;3821 0950;sondermarkskolen@frederiksberg.dk;www.frb-sm.dk;1012;Folkeskoler;Grundskoler mv.;9;Leif Gaard Bjarning;11259979;147;Frederiksberg Kommune;147;Frederiksberg Kommune;1084;Region Hovedstaden;2;Kommunale;1003257774;0373;55,67450889;12,50294654
;147007;Skolen på Duevej;Institution uden enheder;Duevej 63;2000;Frederiksberg;3821 0640;skolenduevej@frederiksberg.dk;www.frb-du.dk;1012;Folkeskoler;Grundskoler mv.;9;Thomas Holberg Wied;11259979;147;Frederiksberg Kommune;147;Frederiksberg Kommune;1084;Region Hovedstaden;2;Kommunale;1003257555;0178;55,69117742;12,52790673
;147008;Skolen ved Bulowsvej;Institution uden enheder;Fuglevangsvej 8;1962;Frederiksberg C;3821 0580;skolenbulowsvej@frederiksberg.dk;www.frb-bu.dk;1012;Folkeskoler;Grundskoler mv.;9;Claus Grubak;11259979;147;Frederiksberg Kommune;147;Frederiksberg Kommune;1084;Region Hovedstaden;2;Kommunale;1003257518;0295;55,68270851;12,5467272
;147010;Skolen på La Cours Vej;Institution uden enheder;La Cours Vej 2;2000;Frederiksberg;3821 0690;skolenlacoursvej@frederiksberg.dk;frb-lc.aula.dk;1012;Folkeskoler;Grundskoler mv.;9;Irene Nitzsch Møller Hastrup;11259979;147;Frederiksberg Kommune;147;Frederiksberg Kommune;1084;Region Hovedstaden;2;Kommunale;1003257580;0487;55,68457468;12,51834888
;147012;Skolen på Nyelandsvej;Institution uden enheder;Nyelandsvej 23;2000;Frederiksberg;3821 0900;AdmSkolenpaNyelandsvej@frederiksberg.dk;www.frb-ny.skoleintra.dk;1012;Folkeskoler;Grundskoler mv.;9;Maike Raahauge;11259979;147;Frederiksberg Kommune;147;Frederiksberg Kommune;1084;Region Hovedstaden;2;Kommunale;1003258022;0598;55,68283037;12,53052948
;147044;Ny Hollænderskolen;Institution uden enheder;Hollændervej 3;1855;Frederiksberg C;3821 0810;nyhollaenderskolen@frederiksberg.dk;www.frb-nh.skoleporten.dk;1012;Folkeskoler;Grundskoler mv.;9;Kristian Lohmann;11259979;147;Frederiksberg Kommune;147;Frederiksberg Kommune;1084;Region Hovedstaden;2;Kommunale;1003257798;0379;55,67588076;12,53756656
;147051;Tre Falke Skolen;Institution uden enheder;Sønderjyllands Allé 4;2000;Frederiksberg;3821 0440;trefalkeskolen@frederiksberg.dk;trefalkeskolen.skoleporten.dk/sp;1012;Folkeskoler;Grundskoler mv.;10;Brian Jørgensen;11259979;147;Frederiksberg Kommune;147;Frederiksberg Kommune;1084;Region Hovedstaden;2;Kommunale;1008967535;0781;55,68011375;12,49809325
;147052;Skolen ved Søerne;Institution uden enheder;Niels Ebbesens Vej 10;1911;Frederiksberg C;3821 0150;skolenvedsoerne@frederiksberg.dk;www.skolenvedsoerne.dk;1012;Folkeskoler;Grundskoler mv.;9;Annemette Steffensen;11259979;147;Frederiksberg Kommune;147;Frederiksberg Kommune;1084;Region Hovedstaden;2;Kommunale;1011096669;0577;55,67782079;12,55288353
147401;280433;TEC , 10. klassecenter;Afdeling (underordnet enhed);Stæhr Johansens Vej 7;2000;Frederiksberg;3817 7000;tec@tec.dk;www.tec.dk;1012;Folkeskoler;Grundskoler mv.;10;Morten Emborg;20578912;;;147;Frederiksberg Kommune;1084;Region Hovedstaden;4;Selvejende, statslige;1003400771;0217;55,68286867;12,51914598
;151003;Hedegårdsskolen;Institution uden enheder;Magleparken 8;2750;Ballerup;4477 3754;hedegaardsskolen@balk.dk;hedegaardsskolen.dk;1012;Folkeskoler;Grundskoler mv.;10;Henrik Rømer Nielsen;58271713;151;Ballerup Kommune;151;Ballerup Kommune;1084;Region Hovedstaden;2;Kommunale;1003260166;0221;55,72033366;12,35777117
;153013;Uddannelsescenter Nygård - 10.Klasseskolen;Institution uden enheder;Nykær 44;2605;Brøndby;4328 2900;ucn@brondby.dk;www.ucn10.dk;1012;Folkeskoler;Grundskoler mv.;10;Poul Henning Jørgensen;65113015;153;Brøndby Kommune;153;Brøndby Kommune;1084;Region Hovedstaden;2;Kommunale;1003261551;0468;55,66910959;12,44321504
;153018;Brøndbyøster Skole;Institution uden enheder;Bredager 160;2605;Brøndby;4328 2870;brondbyosterskole@brondby.dk;www.brondbyosterskole.dk;1012;Folkeskoler;Grundskoler mv.;10;Beate Odgaard;65113015;153;Brøndby Kommune;153;Brøndby Kommune;1084;Region Hovedstaden;2;Kommunale;1016282428;0041;55,66151819;12,4492322
;153019;Brøndbyvester Skole;Institution uden enheder;Tornehøj 3;2605;Brøndby;4328 2920;brondbyvesterskole@brondby.dk;www.brondbyvesterskole.dk;1012;Folkeskoler;Grundskoler mv.;9;Joachim Kjølberg;65113015;153;Brøndby Kommune;153;Brøndby Kommune;1084;Region Hovedstaden;2;Kommunale;1016284897;0707;55,64636974;12,41286845
;153020;Brøndby Strand Skole;Institution uden enheder;Dyringparken 1;2660;Brøndby Strand;4328 2990;brondbystrandskole@brondby.dk;www.brondbystrandskole.dk;1012;Folkeskoler;Grundskoler mv.;9;Rikke Rubek Jørgensen;65113015;153;Brøndby Kommune;153;Brøndby Kommune;1084;Region Hovedstaden;2;Kommunale;1016282088;0129;55,62671577;12,39940627
;155004;Nordstrandskolen;Institution uden enheder;Hartkornsvej 30;2791;Dragør;3289 0400;Nordstrandskolen@dragoer.dk;www.nordstrandskolen.dk;1012;Folkeskoler;Grundskoler mv.;10;Claus Peter Andersen;12881517;155;Dragør Kommune;155;Dragør Kommune;1084;Region Hovedstaden;2;Kommunale;1003261976;2680;55,59864816;12,6588071
;157001;Bakkegårdsskolen;Institution uden enheder;Skolebakken 20;2820;Gentofte;3998 5100;Bakkegaardsskolen@gentofte.dk;bakkegaard.aula.dk;1012;Folkeskoler;Grundskoler mv.;9;Rikke Michan;19438414;157;Gentofte Kommune;157;Gentofte Kommune;1084;Region Hovedstaden;2;Kommunale;1003262923;0710;55,74645653;12,52544791
;157002;Dyssegårdsskolen;Institution uden enheder;Dyssegårdsvej 26;2900;Hellerup;3998 5550;dyssegaardsskolen@gentofte.dk;www.dyssegaard.gentofte-skoler.dk;1012;Folkeskoler;Grundskoler mv.;9;Lene Hjorth;19438414;157;Gentofte Kommune;157;Gentofte Kommune;1084;Region Hovedstaden;2;Kommunale;1003262492;0152;55,7327215;12,53894173
;157003;Gentofte Skole;Institution uden enheder;Baunegårdsvej 33;2820;Gentofte;3965 0228;gentofte.skole@gentofte.dk;www.gentofte.gentofte-skoler.dk;1012;Folkeskoler;Grundskoler mv.;9;Peter Hartvig;19438414;157;Gentofte Kommune;157;Gentofte Kommune;1084;Region Hovedstaden;2;Kommunale;1003262339;0038;55,7431207;12,54707593
;157005;Maglegårdsskolen;Institution uden enheder;Maglegård Skolevej 1;2900;Hellerup;3998 5600;maglegaardsskolen@gentofte.dk;maglegaard.aula.dk;1012;Folkeskoler;Grundskoler mv.;9;Niels Munch-Andersen;19438414;157;Gentofte Kommune;157;Gentofte Kommune;1084;Region Hovedstaden;2;Kommunale;1003262868;0538;55,74384339;12,56959958
;157007;Munkegårdsskolen;Institution uden enheder;Vangedevej 178;2870;Dyssegård ;3998 5650;munkegaardsskolen@gentofte.dk;www.munkegaardsskolen.dk;1012;Folkeskoler;Grundskoler mv.;9;Anne Sofie Stevnhoved;19438414;157;Gentofte Kommune;157;Gentofte Kommune;1084;Region Hovedstaden;2;Kommunale;1003263086;0904;55,73523949;12,52210922
